"Name","Position","Age","Team_from","League_from","Team_to","League_to","Season","Market_value","Transfer_fee"
"Aleksandr Samedov","Right Winger",20,"Spartak Moscow","Premier Liga","Loko Moscow","Premier Liga","2005-2006",150000,4000000
"Patrick Müller","Centre-Back",29,"FC Basel","Super League","Olympique Lyon","Ligue 1","2005-2006",3000000,3800000
"Yossi Benayoun","Right Winger",25,"Racing","LaLiga","West Ham","Premier League","2005-2006",4000000,3750000
"Tolga Seyhan","Centre-Back",28,"Trabzonspor","Süper Lig","Shakhtar D.","Premier Liga","2005-2006",3500000,3750000
"Paul Scharner","Centre-Back",25,"SK Brann","Eliteserien","Wigan","Premier League","2005-2006",3000000,3670000
"Darius Vassell","Centre-Forward",25,"Aston Villa","Premier League","Man City","Premier League","2005-2006",5750000,3600000
"Elvis Abbruscato","Centre-Forward",25,"Arezzo","Serie B","Torino","Serie B","2005-2006",700000,3600000
"Ewerthon","Centre-Forward",24,"Bor. Dortmund","1.Bundesliga","Real Zaragoza","LaLiga","2005-2006",12000000,3500000
"Aílton","Centre-Forward",32,"FC Schalke 04","1.Bundesliga","Besiktas","Süper Lig","2005-2006",8000000,3500000
"Deivid","Centre-Forward",25,"Santos FC","Série A","Sporting CP","Liga NOS","2005-2006",3500000,3500000
"Grzegorz Rasiak","Centre-Forward",26,"Derby","Championship","Spurs","Premier League","2005-2006",3500000,3500000
"Thiago Silva","Centre-Back",20,"FC Porto","Liga NOS","Dinamo Moscow","Premier Liga","2005-2006",3500000,3500000
"Alberto Rivera","Central Midfield",27,"Levante UD","LaLiga2","Real Betis","LaLiga","2005-2006",800000,3500000
"Grafite","Centre-Forward",26,"São Paulo","Série A","Le Mans","Ligue 1","2005-2006",NA,3500000
"Jonás Gutiérrez","Left Midfield",22,"Vélez Sarsfield","Torneo Final","RCD Mallorca","LaLiga","2005-2006",NA,3500000
"Pablo Zabaleta","Right-Back",20,"San Lorenzo","Torneo Final","Espanyol","LaLiga","2005-2006",NA,3500000
"Bryan Bergougnoux","Attacking Midfield",22,"Olympique Lyon","Ligue 1","Toulouse","Ligue 1","2005-2006",2500000,3400000
"Filip Holosko","Right Winger",22,"Slovan Liberec","HET Liga","Manisaspor","Süper Lig","2005-2006",NA,3300000
"Tomas Jun","Second Striker",22,"Sparta Praha","HET Liga","Trabzonspor","Süper Lig","2005-2006",4000000,3250000
"Danny Murphy","Central Midfield",28,"Charlton","Premier League","Spurs","Premier League","2005-2006",5300000,3210000
"Vikash Dhorasoo","Central Midfield",31,"AC Milan","Serie A","Paris SG","Ligue 1","2005-2006",4000000,3200000
"Fran Mérida","Central Midfield",15,"Barcelona Yth."," Spain","Arsenal U18"," England","2005-2006",NA,3200000
"Maciej Zurawski","Centre-Forward",28,"Wisla Kraków","Ekstraklasa","Celtic","Premiership","2005-2006",5000000,3100000
"Clinton Morrison","Centre-Forward",26,"Birmingham","Premier League","Crystal Palace","Championship","2005-2006",7000000,3000000
"Jesper Grönkjaer","Left Winger",27,"Atlético Madrid","LaLiga","VfB Stuttgart","1.Bundesliga","2005-2006",6500000,3000000
"Santos","Centre-Forward",26,"FC Sochaux","Ligue 1","Toulouse","Ligue 1","2005-2006",6500000,3000000
"Aruna Dindane","Second Striker",24,"RSC Anderlecht","Jupiler Pro League","Lens","Ligue 1","2005-2006",5000000,3000000
"Albert Riera","Left Winger",23,"G. Bordeaux","Ligue 1","Espanyol","LaLiga","2005-2006",4750000,3000000
"Alou Diarra","Defensive Midfield",23,"Liverpool","Premier League","Lens","Ligue 1","2005-2006",4000000,3000000
"Frédéric Piquionne","Centre-Forward",26,"Stade Rennais","Ligue 1","Saint-Étienne","Ligue 1","2005-2006",4000000,3000000
"Pascal Feindouno","Right Winger",24,"G. Bordeaux","Ligue 1","Saint-Étienne","Ligue 1","2005-2006",4000000,3000000
"Fabrice Pancrate","Right Winger",25,"Le Mans","Ligue 1","Paris SG","Ligue 1","2005-2006",4000000,3000000
"Grzegorz Rasiak","Centre-Forward",26,"Spurs","Premier League","Southampton","Championship","2005-2006",3500000,3000000
"Andrew O'Brien","Centre-Back",26,"Newcastle","Premier League","Portsmouth","Premier League","2005-2006",3500000,3000000
"Abou Diaby","Central Midfield",19,"AJ Auxerre","Ligue 1","Arsenal","Premier League","2005-2006",3000000,3000000
"Mohamed Zidan","Second Striker",23,"FC Midtjylland","Superligaen","Werder Bremen","1.Bundesliga","2005-2006",3000000,3000000
"Erik Edman","Left-Back",26,"Spurs","Premier League","Stade Rennais","Ligue 1","2005-2006",3000000,3000000
"David Rozehnal","Centre-Back",25,"Club Brugge","Jupiler Pro League","Paris SG","Ligue 1","2005-2006",2500000,3000000
"Sergey Semak","Central Midfield",29,"Paris SG","Ligue 1","FK Moskau","Premier Liga","2005-2006",2500000,3000000
"Hossam Ghaly","Central Midfield",24,"Feyenoord","Eredivisie","Spurs","Premier League","2005-2006",2500000,3000000
"Moumouni Dagano","Centre-Forward",24,"Guingamp","Ligue 2","FC Sochaux","Ligue 1","2005-2006",2500000,3000000
"Luis García","Central Midfield",24,"RCD Mallorca","LaLiga","Espanyol","LaLiga","2005-2006",2500000,3000000
"Marcus Bent","Centre-Forward",27,"Everton","Premier League","Charlton","Premier League","2005-2006",2250000,3000000
"Wayne Routledge","Left Winger",20,"Crystal Palace","Championship","Spurs","Premier League","2005-2006",2250000,3000000
"Emir Spahic","Centre-Back",25,"Torpedo Moscow","Premier Liga","Loko Moscow","Premier Liga","2005-2006",2000000,3000000
"David Connolly","Centre-Forward",28,"Leicester","Championship","Wigan","Premier League","2005-2006",2000000,3000000
"Leonardo Pisculichi","Attacking Midfield",21,"Argentinos","Torneo Final","RCD Mallorca","LaLiga","2005-2006",1750000,3000000
"Claudio Maldonado","Defensive Midfield",26,"Cruzeiro","Série A","Santos FC","Série A","2005-2006",1500000,3000000
"Carlos Vela","Right Winger",16,"Chivas"," Mexico","Arsenal","Premier League","2005-2006",1000000,3000000
"Alessandro Gamberini","Centre-Back",23,"Bologna","Serie B","Fiorentina","Serie A","2005-2006",300000,3000000
"Abdul Kader Keita","Right Winger",23,"Al Sadd"," Qatar","LOSC Lille","Ligue 1","2005-2006",NA,3000000
"Amr Zaki","Centre-Forward",22,"Enppi","Premier League","Loko Moscow","Premier Liga","2005-2006",NA,3000000
"Sebastián Taborda","Centre-Forward",24,"Defensor"," Uruguay","Dep. La Coruña","LaLiga","2005-2006",NA,3000000
"Aleksandr Anyukov","Right-Back",22,"KS Samara","Premier Liga","Zenit S-Pb","Premier Liga","2005-2006",NA,3000000
"Leandro Fernández","Centre-Back",22,"River Plate","Torneo Final","Dinamo Moscow","Premier Liga","2005-2006",NA,3000000
"Aritz Aduriz","Centre-Forward",24,"Real Valladolid","LaLiga2","Athletic Bilbao","LaLiga","2005-2006",NA,3000000
"Mikel Arteta","Central Midfield",23,"Real Sociedad","LaLiga","Everton","Premier League","2005-2006",8000000,2800000
"Emanuel Pogatetz","Centre-Back",22,"Bay. Leverkusen","1.Bundesliga","Middlesbrough","Premier League","2005-2006",3000000,2710000
"Jon Stead","Centre-Forward",22,"Blackburn","Premier League","Sunderland","Premier League","2005-2006",3000000,2700000
"Julio dos Santos","Central Midfield",22,"Cerro Porteño"," Paraguay","Bayern Munich ","1.Bundesliga","2005-2006",2000000,2700000
"Yaya Touré","Central Midfield",22,"Metalurh D.","Premier Liga","Olympiacos","Super League","2005-2006",2000000,2700000
"Dennis Oliech","Right Winger",20,"Al Arabi"," Qatar","FC Nantes","Ligue 1","2005-2006",NA,2700000
"Ade Akinbiyi","Centre-Forward",31,"Burnley","Championship","Sheffield Utd.","Championship","2005-2006",2750000,2630000
"Kléberson","Central Midfield",26,"Man Utd","Premier League","Besiktas","Süper Lig","2005-2006",5500000,2600000
"Enzo Maresca","Central Midfield",25,"Juventus","Serie A","Sevilla FC","LaLiga","2005-2006",7500000,2500000
"França","Centre-Forward",29,"Bay. Leverkusen","1.Bundesliga","Kashiwa Reysol","J1 League","2005-2006",5000000,2500000
"Luis Jiménez","Attacking Midfield",21,"Ternana","Serie B","Fiorentina","Serie A","2005-2006",4000000,2500000
"Shinji Ono","Attacking Midfield",26,"Feyenoord","Eredivisie","Urawa Reds","J1 League","2005-2006",3750000,2500000
"Wesley Sonck","Centre-Forward",26,"AFC Ajax","Eredivisie","Bor. M'gladbach","1.Bundesliga","2005-2006",3500000,2500000
"Thimothée Atouba","Left-Back",23,"Spurs","Premier League","Hamburger SV","1.Bundesliga","2005-2006",3000000,2500000
"Nicolás Frutos","Centre-Forward",24,"Independiente","Torneo Final","RSC Anderlecht","Jupiler Pro League","2005-2006",3000000,2500000
"Lukas Zelenka","Attacking Midfield",26,"Sparta Praha","HET Liga","Manisaspor","Süper Lig","2005-2006",2500000,2500000
"Nuno Espírito Santo","Goalkeeper",31,"FC Porto","Liga NOS","Dinamo Moscow","Premier Liga","2005-2006",2500000,2500000
"Takayuki Suzuki","Centre-Forward",29,"Kashima Antlers","J1 League","Red Star","SuperLiga","2005-2006",2500000,2500000
"Bakari Koné","Right Winger",23,"FC Lorient","Ligue 2","OGC Nice","Ligue 1","2005-2006",2250000,2500000
"Luciano Galletti","Right Winger",25,"Real Zaragoza","LaLiga","Atlético Madrid","LaLiga","2005-2006",2000000,2500000
"Nunes","Centre-Back",28,"Braga","Liga NOS","RCD Mallorca","LaLiga","2005-2006",1500000,2500000
"Mark González","Left Winger",20,"Albacete","LaLiga2","Liverpool","Premier League","2005-2006",1500000,2500000
"Ron Vlaar","Centre-Back",20,"AZ Alkmaar","Eredivisie","Feyenoord","Eredivisie","2005-2006",1500000,2500000
"Morten Skoubo","Centre-Forward",25,"Bröndby IF","Superligaen","Real Sociedad","LaLiga","2005-2006",1250000,2500000
"Jorge Luís","Left-Back",29,"Braga","Liga NOS","Dinamo Moscow","Premier Liga","2005-2006",1000000,2500000
"Bostjan Cesar","Centre-Back",22,"Dinamo Zagreb","1.HNL","Marseille","Ligue 1","2005-2006",1000000,2500000
"Quincy Owusu-Abeyie","Left Winger",19,"Arsenal","Premier League","Spartak Moscow","Premier Liga","2005-2006",750000,2500000
"Edixon Perea","Centre-Forward",21,"Atl. Nacional"," Colombia","G. Bordeaux","Ligue 1","2005-2006",NA,2500000
"Felipe","Left Winger",27,"Fluminense","Série A","Al Sadd"," Qatar","2005-2006",NA,2500000
"Federico Insúa","Attacking Midfield",25,"Independiente","Torneo Final","Boca Juniors","Torneo Final","2005-2006",4500000,2480000
"Naldo","Centre-Back",22,"Juventude","Série A","Werder Bremen","1.Bundesliga","2005-2006",2750000,2400000
"Garry O'Connor","Centre-Forward",22,"Hibernian FC","Premiership","Loko Moscow","Premier Liga","2005-2006",2000000,2400000
"Jhon Viáfara","Defensive Midfield",26,"Once Caldas"," Colombia","Portsmouth","Premier League","2005-2006",NA,2400000
"Lisandro López","Centre-Forward",22,"Racing Club","Torneo Final","FC Porto","Liga NOS","2005-2006",5500000,2300000
"Michael Brown","Central Midfield",28,"Spurs","Premier League","Fulham","Premier League","2005-2006",3000000,2300000
"Sören Larsen","Centre-Forward",23,"Djurgarden","Allsvenskan","FC Schalke 04","1.Bundesliga","2005-2006",NA,2300000
"Nolberto Solano","Right Midfield",31,"Aston Villa","Premier League","Newcastle","Premier League","2005-2006",5000000,2250000
"Paul Konchesky","Left-Back",24,"Charlton","Premier League","West Ham","Premier League","2005-2006",3500000,2250000
"Diomansy Kamara","Right Winger",24,"Modena","Serie B","West Brom","Premier League","2005-2006",2500000,2250000
"Darren Carter","Central Midfield",21,"Birmingham","Premier League","West Brom","Premier League","2005-2006",2250000,2250000
"Marek Heinz","Centre-Forward",28,"Bor. M'gladbach","1.Bundesliga","Galatasaray","Süper Lig","2005-2006",1500000,2250000
"Damien Francis","Central Midfield",26,"Norwich","Championship","Wigan","Premier League","2005-2006",550000,2250000
"John Welsh","Central Midfield",21,"Liverpool","Premier League","Hull City","Championship","2005-2006",250000,2250000
"Gustavo Nery","Left-Back",27,"Werder Bremen","1.Bundesliga","Corinthians","Série A","2005-2006",2500000,2200000
"Adam Virgo","Centre-Back",22,"Brighton","Championship","Celtic","Premiership","2005-2006",NA,2200000
"Ivica Dragutinovic","Centre-Back",29,"Standard Liège","Jupiler Pro League","Sevilla FC","LaLiga","2005-2006",2500000,2100000
"Santiago Solari","Left Midfield",28,"Real Madrid","LaLiga","Inter","Serie A","2005-2006",7000000,2000000
"Nuno Valente","Left-Back",30,"FC Porto","Liga NOS","Everton","Premier League","2005-2006",5000000,2000000
"Young-pyo Lee","Left-Back",28,"PSV Eindhoven","Eredivisie","Spurs","Premier League","2005-2006",4000000,2000000
"Rabiu Afolabi","Centre-Back",25,"Austria Vienna","Bundesliga","FC Sochaux","Ligue 1","2005-2006",3800000,2000000
"Tomasz Frankowski","Centre-Forward",31,"Elche CF","LaLiga2","Wolves","Championship","2005-2006",3750000,2000000
"Patrick Owomoyela","Right-Back",25,"Arm. Bielefeld","1.Bundesliga","Werder Bremen","1.Bundesliga","2005-2006",3250000,2000000
"João Alves","Central Midfield",24,"Braga","Liga NOS","Sporting CP","Liga NOS","2005-2006",3000000,2000000
"Sébastien Mazure","Centre-Forward",26,"SM Caen","Ligue 2","Saint-Étienne","Ligue 1","2005-2006",3000000,2000000
"Sasa Ilic","Central Midfield",27,"Partizan","SuperLiga","Galatasaray","Süper Lig","2005-2006",3000000,2000000
"Miguel Ángel","Defensive Midfield",26,"Málaga CF","LaLiga","Real Betis","LaLiga","2005-2006",2000000,2000000
"Chun-soo Lee","Second Striker",23,"Real Sociedad","LaLiga","Ulsan"," Korea, South","2005-2006",2000000,2000000
"Martin Kamburov","Centre-Forward",25,"Lok. Plovdiv"," Bulgaria","Al Ahli"," Qatar","2005-2006",2000000,2000000
"Javier Arizmendi","Centre-Forward",21,"Atlético Madrid","LaLiga","Dep. La Coruña","LaLiga","2005-2006",1500000,2000000
"Marián Had","Centre-Back",23,"Zbrojovka Brno","HET Liga","Loko Moscow","Premier Liga","2005-2006",1250000,2000000
"Martin Andresen","Central Midfield",28,"Stabaek IF","OBOS-ligaen","SK Brann","Eliteserien","2005-2006",1250000,2000000
"Eldin Jakupovic","Goalkeeper",21,"Grasshoppers","Super League","Loko Moscow","Premier Liga","2005-2006",750000,2000000
"Anthony Seric","Left-Back",26,"Lazio","Serie A","Panathinaikos","Super League","2005-2006",600000,2000000
"Danny Gabbidon","Centre-Back",25,"Cardiff","Championship","West Ham","Premier League","2005-2006",600000,2000000
"James Collins","Centre-Back",21,"Cardiff","Championship","West Ham","Premier League","2005-2006",600000,2000000
"Júan","Attacking Midfield",23,"Fluminense","Série A","Flamengo","Série A","2005-2006",250000,2000000
"Heidar Helguson","Centre-Forward",27,"Watford","Championship","Fulham","Premier League","2005-2006",200000,2000000
"Pavel Pogrebnyak","Centre-Forward",22,"Spartak Moscow","Premier Liga","Tom Tomsk","Premier Liga","2005-2006",50000,2000000
"Ben Foster","Goalkeeper",22,"Stoke City","Championship","Man Utd","Premier League","2005-2006",50000,2000000
"Denis Kolodin","Centre-Back",23,"KS Samara","Premier Liga","Dinamo Moscow","Premier Liga","2005-2006",NA,2000000
"Borges","Centre-Forward",25,"Paraná","Série A","Vegalta Sendai","J2 League","2005-2006",NA,2000000
"Ognjen Koroman","Right Winger",26,"KS Samara","Premier Liga","Akhmat Grozny","Premier Liga","2005-2006",NA,2000000
"Daniel Bilos","Left Midfield",24,"CA Banfield","Torneo Final","Boca Juniors","Torneo Final","2005-2006",NA,2000000
"Mads Junker","Centre-Forward",24,"Nordsjaelland","Superligaen","Vitesse","Eredivisie","2005-2006",NA,2000000
"Andriy Shevchenko","Centre-Forward",29,"AC Milan","Serie A","Chelsea","Premier League","2006-2007",51000000,43300000
"Michael Carrick","Defensive Midfield",25,"Spurs","Premier League","Man Utd","Premier League","2006-2007",26500000,27200000
"Mahamadou Diarra","Defensive Midfield",25,"Olympique Lyon","Ligue 1","Real Madrid","LaLiga","2006-2007",20000000,26000000
"Joaquín","Right Winger",25,"Real Betis","LaLiga","Valencia CF","LaLiga","2006-2007",22000000,25000000
"Zlatan Ibrahimovic","Centre-Forward",24,"Juventus","Serie B","Inter","Serie A","2006-2007",25000000,24800000
"Sergio Agüero","Centre-Forward",18,"Independiente","Torneo Final","Atlético Madrid","LaLiga","2006-2007",5000000,21700000
"Fernando Gago","Defensive Midfield",20,"Boca Juniors","Torneo Final","Real Madrid","LaLiga","2006-2007",12000000,20500000
"John Mikel Obi","Defensive Midfield",19,"FK Lyn","Eliteserien","Chelsea","Premier League","2006-2007",NA,20000000
"Dirk Kuyt","Right Winger",26,"Feyenoord","Eredivisie","Liverpool","Premier League","2006-2007",17250000,18000000
"Émerson","Defensive Midfield",30,"Juventus","Serie B","Real Madrid","LaLiga","2006-2007",26000000,16000000
"Obafemi Martins","Centre-Forward",21,"Inter","Serie A","Newcastle","Premier League","2006-2007",12000000,16000000
"Dimitar Berbatov","Centre-Forward",25,"Bay. Leverkusen","1.Bundesliga","Spurs","Premier League","2006-2007",17000000,15700000
"Damien Duff","Right Midfield",27,"Chelsea","Premier League","Newcastle","Premier League","2006-2007",15000000,15500000
"Ruud van Nistelrooy","Centre-Forward",30,"Man Utd","Premier League","Real Madrid","LaLiga","2006-2007",32000000,15000000
"Ricardo Oliveira","Centre-Forward",26,"Real Betis","LaLiga","AC Milan","Serie A","2006-2007",6000000,15000000
"Carlos Tévez","Second Striker",22,"Corinthians","Série A","West Ham","Premier League","2006-2007",15000000,14600000
"Javier Mascherano","Defensive Midfield",22,"Corinthians","Série A","West Ham","Premier League","2006-2007",11800000,14600000
"Anatoliy Tymoshchuk","Defensive Midfield",27,"Shakhtar D.","Premier Liga","Zenit S-Pb","Premier Liga","2006-2007",6000000,14500000
"Gianluca Zambrotta","Right-Back",29,"Juventus","Serie B","FC Barcelona","LaLiga","2006-2007",26000000,14000000
"Khalid Boulahrouz","Centre-Back",24,"Hamburger SV","1.Bundesliga","Chelsea","Premier League","2006-2007",13000000,13200000
"Ashley Young","Left Midfield",21,"Watford","Premier League","Aston Villa","Premier League","2006-2007",6500000,13200000
"David Pizarro","Central Midfield",26,"Inter","Serie A","AS Roma","Serie A","2006-2007",8000000,13000000
"Matthew Upson","Centre-Back",27,"Birmingham","Championship","West Ham","Premier League","2006-2007",9000000,12600000
"Didier Zokora","Defensive Midfield",25,"Saint-Étienne","Ligue 1","Spurs","Premier League","2006-2007",12500000,12350000
"Nicolas Anelka","Centre-Forward",27,"Fenerbahce","Süper Lig","Bolton","Premier League","2006-2007",12000000,12000000
"Eidur Gudjohnsen","Centre-Forward",27,"Chelsea","Premier League","FC Barcelona","LaLiga","2006-2007",12000000,12000000
"Gonzalo Higuaín","Centre-Forward",19,"River Plate","Torneo Final","Real Madrid","LaLiga","2006-2007",12000000,12000000
"Pablo Aimar","Attacking Midfield",26,"Valencia CF","LaLiga","Real Zaragoza","LaLiga","2006-2007",18000000,11000000
"Cani","Attacking Midfield",24,"Real Zaragoza","LaLiga","Villarreal CF","LaLiga","2006-2007",11000000,11000000
"Andy Johnson","Centre-Forward",25,"Crystal Palace","Championship","Everton","Premier League","2006-2007",11000000,11000000
"Vincent Kompany","Centre-Back",20,"RSC Anderlecht","Jupiler Pro League","Hamburger SV","1.Bundesliga","2006-2007",13500000,10500000
"Lukas Podolski","Centre-Forward",21,"1. FC Köln","2.Bundesliga","Bayern Munich ","1.Bundesliga","2006-2007",12000000,10000000
"Tomás Rosicky","Attacking Midfield",25,"Bor. Dortmund","1.Bundesliga","Arsenal","Premier League","2006-2007",11000000,10000000
"Francesco Tavano","Centre-Forward",27,"FC Empoli","Serie A","Valencia CF","LaLiga","2006-2007",8500000,10000000
"Stiliyan Petrov","Central Midfield",27,"Celtic","Premiership","Aston Villa","Premier League","2006-2007",7350000,10000000
"Pascal Chimbonda","Right-Back",27,"Wigan","Premier League","Spurs","Premier League","2006-2007",4000000,10000000
"Patrick Vieira","Defensive Midfield",30,"Juventus","Serie B","Inter","Serie A","2006-2007",28000000,9500000
"Jermaine Pennant","Right Winger",23,"Birmingham","Championship","Liverpool","Premier League","2006-2007",5500000,9100000
"Maniche","Central Midfield",28,"Dinamo Moscow","Premier Liga","Atlético Madrid","LaLiga","2006-2007",13000000,9000000
"Craig Bellamy","Left Winger",26,"Blackburn","Premier League","Liverpool","Premier League","2006-2007",9000000,9000000
"Fernando Cavenaghi","Centre-Forward",23,"Spartak Moscow","Premier Liga","G. Bordeaux","Ligue 1","2006-2007",6500000,9000000
"Arouna Koné","Centre-Forward",22,"Roda JC","Eredivisie","PSV Eindhoven","Eredivisie","2006-2007",6000000,9000000
"Wagner","Attacking Midfield",21,"Cruzeiro","Série A","Ittihad"," Saudi Arabia","2006-2007",NA,9000000
"Javier Chevantón","Centre-Forward",25,"Monaco","Ligue 1","Sevilla FC","LaLiga","2006-2007",7000000,8900000
"Robert Huth","Centre-Back",21,"Chelsea","Premier League","Middlesbrough","Premier League","2006-2007",2750000,8900000
"Amauri","Centre-Forward",26,"Chievo Verona","Serie A","US Palermo","Serie A","2006-2007",4000000,8750000
"Matías Fernández","Attacking Midfield",20,"Colo Colo"," Chile","Villarreal CF","LaLiga","2006-2007",11000000,8700000
"Rafael Sóbis","Centre-Forward",21,"Internacional","Série A","Real Betis","LaLiga","2006-2007",7500000,8500000
"Daniel Van Buyten","Centre-Back",28,"Hamburger SV","1.Bundesliga","Bayern Munich ","1.Bundesliga","2006-2007",14000000,8000000
"Adrian Mutu","Centre-Forward",27,"Juventus","Serie B","Fiorentina","Serie A","2006-2007",11000000,8000000
"Kim Källström","Defensive Midfield",23,"Stade Rennais","Ligue 1","Olympique Lyon","Ligue 1","2006-2007",7500000,8000000
"Nilmar","Centre-Forward",21,"Olympique Lyon","Ligue 1","Corinthians","Série A","2006-2007",6000000,8000000
"Massimo Oddo","Right-Back",30,"Lazio","Serie A","AC Milan","Serie A","2006-2007",10000000,7750000
"Ronaldo","Centre-Forward",30,"Real Madrid","LaLiga","AC Milan","Serie A","2006-2007",27500000,7500000
"Asier del Horno","Left-Back",25,"Chelsea","Premier League","Valencia CF","LaLiga","2006-2007",12000000,7500000
"Fatih Tekke","Centre-Forward",28,"Trabzonspor","Süper Lig","Zenit S-Pb","Premier Liga","2006-2007",8250000,7500000
"Emile Heskey","Centre-Forward",28,"Birmingham","Championship","Wigan","Premier League","2006-2007",5500000,7500000
"Diego Lugano","Centre-Back",25,"São Paulo","Série A","Fenerbahce","Süper Lig","2006-2007",3750000,7500000
"Ederson","Attacking Midfield",20,"Juventude","Série A","OGC Nice","Ligue 1","2006-2007",1500000,7500000
"Ashley Cole","Left-Back",25,"Arsenal","Premier League","Chelsea","Premier League","2006-2007",17000000,7400000
"Fabio Cannavaro","Centre-Back",32,"Juventus","Serie B","Real Madrid","LaLiga","2006-2007",14000000,7000000
"Mateja Kezman","Centre-Forward",27,"Atlético Madrid","LaLiga","Fenerbahce","Süper Lig","2006-2007",12500000,7000000
"Alejandro Domínguez","Attacking Midfield",25,"Rubin Kazan","Premier Liga","Zenit S-Pb","Premier Liga","2006-2007",7000000,7000000
"Jérémy Toulalan","Defensive Midfield",22,"FC Nantes","Ligue 1","Olympique Lyon","Ligue 1","2006-2007",7000000,7000000
"Maicon","Right-Back",24,"Monaco","Ligue 1","Inter","Serie A","2006-2007",7000000,6800000
"Luís Boa Morte","Left Midfield",29,"Fulham","Premier League","West Ham","Premier League","2006-2007",3500000,6800000
"Mido","Centre-Forward",23,"AS Roma","Serie A","Spurs","Premier League","2006-2007",10500000,6750000
"Joleon Lescott","Centre-Back",23,"Wolves","Championship","Everton","Premier League","2006-2007",8000000,6500000
"Marcelo","Left-Back",18,"Fluminense","Série A","Real Madrid","LaLiga","2006-2007",6500000,6500000
"Stefan Kießling","Centre-Forward",22,"1.FC Nuremberg","1.Bundesliga","Bay. Leverkusen","1.Bundesliga","2006-2007",5000000,6500000
"David Odonkor","Right Winger",22,"Bor. Dortmund","1.Bundesliga","Real Betis","LaLiga","2006-2007",4500000,6500000
"Stephen Makinwa","Centre-Forward",22,"US Palermo","Serie A","Lazio","Serie A","2006-2007",4000000,6300000
"Alou Diarra","Defensive Midfield",25,"Lens","Ligue 1","Olympique Lyon","Ligue 1","2006-2007",5000000,6250000
"Costinha","Defensive Midfield",31,"Dinamo Moscow","Premier Liga","Atlético Madrid","LaLiga","2006-2007",15000000,6000000
"Mark van Bommel","Defensive Midfield",29,"FC Barcelona","LaLiga","Bayern Munich ","1.Bundesliga","2006-2007",12000000,6000000
"Nikola Zigic","Centre-Forward",25,"Red Star","SuperLiga","Racing","LaLiga","2006-2007",8000000,6000000
"Georgios Seitaridis","Right-Back",25,"Dinamo Moscow","Premier Liga","Atlético Madrid","LaLiga","2006-2007",8000000,6000000
"Diego","Attacking Midfield",21,"FC Porto","Liga NOS","Werder Bremen","1.Bundesliga","2006-2007",8000000,6000000
"Joris Mathijsen","Centre-Back",26,"AZ Alkmaar","Eredivisie","Hamburger SV","1.Bundesliga","2006-2007",6000000,6000000
"Ilan","Centre-Forward",25,"FC Sochaux","Ligue 1","Saint-Étienne","Ligue 1","2006-2007",5000000,6000000
"Fernando Navarro","Left-Back",24,"FC Barcelona","LaLiga","RCD Mallorca","LaLiga","2006-2007",2500000,6000000
"Gary McSheffrey","Left Winger",23,"Coventry City","Championship","Birmingham","Championship","2006-2007",1250000,6000000
"Sidi Keita","Defensive Midfield",21,"R. Strasbourg","Ligue 2","Lens","Ligue 1","2006-2007",1000000,6000000
"Javi Martínez","Defensive Midfield",17,"CA Osasuna B","2ª B - Grupo III","Athletic Bilbao","LaLiga","2006-2007",NA,6000000
"Sébastien Frey","Goalkeeper",26,"Parma","Serie A","Fiorentina","Serie A","2006-2007",15000000,5750000
"Edú Dracena","Centre-Back",25,"Cruzeiro","Série A","Fenerbahce","Süper Lig","2006-2007",1500000,5700000
"Ramón","Attacking Midfield",18,"Corinthians","Série A","CSKA Moscow","Premier Liga","2006-2007",NA,5650000
"Yaya Touré","Central Midfield",23,"Olympiacos","Super League","Monaco","Ligue 1","2006-2007",8000000,5500000
"Fabio Grosso","Left-Back",28,"US Palermo","Serie A","Inter","Serie A","2006-2007",7000000,5500000
"Daniel Moreira","Second Striker",28,"Toulouse","Ligue 1","Stade Rennais","Ligue 1","2006-2007",7000000,5500000
"Mario Santana","Second Striker",24,"US Palermo","Serie A","Fiorentina","Serie A","2006-2007",6500000,5500000
"Fábio Simplício","Central Midfield",26,"Parma","Serie A","US Palermo","Serie A","2006-2007",6000000,5500000
"Matías Delgado","Attacking Midfield",23,"FC Basel","Super League","Besiktas","Süper Lig","2006-2007",6000000,5500000
"Souleymane Diawara","Centre-Back",27,"FC Sochaux","Ligue 1","Charlton","Premier League","2006-2007",4000000,5400000
"Cristian Ledesma","Central Midfield",23,"Lecce","Serie B","Lazio","Serie A","2006-2007",9000000,5300000
"Emiliano Bonazzoli","Centre-Forward",27,"Parma","Serie A","Sampdoria","Serie A","2006-2007",5000000,5250000
"Fernando Morientes","Centre-Forward",30,"Liverpool","Premier League","Valencia CF","LaLiga","2006-2007",10000000,5000000
"Aleksandr Kerzhakov","Centre-Forward",24,"Zenit S-Pb","Premier Liga","Sevilla FC","LaLiga","2006-2007",7500000,5000000
"Diego Milito","Centre-Forward",27,"Genoa","Serie B","Real Zaragoza","LaLiga","2006-2007",6000000,5000000
"Benoît Pedretti","Defensive Midfield",25,"Olympique Lyon","Ligue 1","AJ Auxerre","Ligue 1","2006-2007",6000000,5000000
"Lilian Thuram","Centre-Back",34,"Juventus","Serie B","FC Barcelona","LaLiga","2006-2007",5000000,5000000
"Celsinho","Attacking Midfield",17,"Portuguesa"," Brazil","Loko Moscow","Premier Liga","2006-2007",5000000,5000000
