Nombre del proyecto,Tipo de aplicación,Descripción,Categoría,Año del proyecto,Licencia,URL,URL Código,Organización,E-mail de contacto,Características,Versión,Fecha,URL Video,URL Documentación
Corabastos,Software Público,Corabastos es una aplicación que permite a los ciudadanos consultar la oferta de Corabastos y a los comerciantes registrar sus ofertas.,Negocios,2014,,http://www.softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://www.softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"La aplicación desarrollada le brinda al comprador: Información sobre la oferta de Corabastos, Información sobre dónde adquirir los productos de Corabastos, Información sobre los comerciantes de Corabastos. Por medio de las siguientes funcionalidades: Ofertas disponibles: Permite consultar las ofertas publicadas por los comerciantes de Corabastos. Lista de compras: Permite crear una lista con las ofertas que el usuario desee comprar en el futuro. Adicionalmente le permite visualizar en el mapa de Corabastos las bodegas a las que tendría que ir en caso de querer comprar las ofertas. La aplicación desarrollada le brinda al comerciante: Un medio para publicar sus ofertas y que sean visibles para los compradores que utilizan la aplicación. Un medio para publicar su perfil y darse a conocer antes los compradores que utilizan la aplicación. Por medio de las siguientes funcionalidades: Mis ofertas: Permite publicar las ofertas del comerciante. Mis locales: Permite gestionar los locales del comerciante en la aplicación. Perfil: Permite administrar los datos personales del comerciante junto con su información de contacto.",1.0,11/14/2014 12:00:00 AM,,
Colombia si Vigila,Software Público,"Aplicación para dispositivos móviles para la vigilancia en salud pública en los grupos Transmisibles, Causa Externa y No Transmisibles, subgrupos y conjunto de eventos específicos objeto de vigilancia en el país entendiendo evento para estos fines como todos aquellos riesgos o situaciones de interés en salud pública.",Salud y Protección Social,2014,,http://www.softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://www.softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"Mostrar la información sobre el Sistema Nacional de Vigilancia en Salud Pública por categorías (generalidades, actores y responsables, flujo de información, conceptos claves). Eventos de notificación obligatoria: enfermedades transmisibles, no transmisibles y de causa externa. Directorio de Secretarias de Salud de cada departamento.",1.0,2014-10-02T00:00:00.000,,
Cine Appcesible,Software Público,Acceso a películas para personas con alguna discapacidad visual a través de una aplicación móvil,Salud y Protección Social,2014,,http://www.softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://www.softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"Películas en cartelera: La aplicación presenta las películas que en el servidor, se hayan marcado como en cartelera. Mis películas: En esta opción se encontrarán las audio descripciones de las películas y películas ya descargadas La aplicación presenta una lista detallada de productos o servicios que sean registrados en la entidad para buscar un ítem específico. Búsqueda: Muestra todas las audio descripciones,  incluyendo las que no están en cartelera.",1.0,11/26/2014 12:00:00 AM,,
Centro de Relevo,Software Público,Centro de Relevo de llamadas a través de una aplicación móvil para las personas con discapacidad auditiva,Salud y Protección Social,2014,,http://www.softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://www.softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"Comunicación mediante vídeo: permite al usuario comunicarse a través de vídeo, con el propósito de establecer comunicación por lenguaje de señas. Las llamadas se hacen desde un dispositivo móvil hacia una aplicación web. Encolamiento de llamadas: La aplicación ordena las llamadas en una cola para permitirle al interprete responderlas de manera eficiente. Registro de usuarios: Solo los usuarios registrados podrán utilizar el servicio del centro de relevo. Gráficos estadísticos: La aplicación permite la generación de estadísticas basadas en la cantidad de llamadas, el tiempo al aire y la frecuencia de las mismas.",1.0,12/23/2014 12:00:00 AM,,
Campo APPrende,Software Público,Con la aplicación móvil Campo APPrende el usuario contará con una herramienta de educación financiera que le ayudará en el manejo de sus finanzas personales proveyendo información en diversos temas con el fin de tomar decisiones financieras más acertadas,Agricultura y Desarrollo Rural,2014,,http://www.softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://www.softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"Calculadora de presupuesto: lleva el registro de sus ingresos y gastos. Plan de ahorro: el usuario puede llevar una proyección de ahorro mensual según las metas que se haya propuesto
Capacitación: sé muestran las capacitaciones presenciales de educación financiera que dicta el Banco Agrario a nivel nacional. Contacto: Se muestran las direcciones dónde el usuario puede obtener mayor información y un correo de contacto de la división se servicio al cliente.",1.0,12/29/2014 12:00:00 AM,,
Biblioteca para ciegos INCI,Software Público,Buscar y descargar audio libros,Salud y Protección Social,2014,,http://www.softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://www.softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"La aplicación móvil desarrollada para el reto “INCI acceso al conocimiento” ha sido identificada como BIBLIOTECA INCI y permite al usuario consultar obrar literarias en formatos audibles, destinados a aquellas personas con deficiencia parcial o total de visión.",1.0,06/19/2014 12:00:00 AM,,
Baner,Software Público,"Facilitar a los actores del agro el reporte de necesidades de desarrollo rural, problemáticas y alertas para que las entidades públicas tomen acciones y les den solución de forma eficiente",Agricultura y Desarrollo Rural,2014,,http://www.softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://www.softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"Registrar la necesidad de su zona rural, ver los proyectos que la entidad tiene en su departamento o municipio, información revelante de su zona rural.",1.0,08/27/2014 12:00:00 AM,,
APC-MAPPS,Software Público,"La aplicación móvil para la Agencia Para la Cooperación,  permite al usuario visualizar en un mapa la georeferenciación de las ofertas de cooperación a nivel mundial que tienen influencia en Colombia.",Negocios,2014,,http://www.softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://www.softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"Prioridades de cooperación: La opción de Prioridades de cooperación le permitirá consultar la georeferenciación de los proyectos de cooperación internacional que se encuentran en ejecución en Colombia, y las prioridades de cooperación del país. Filtros Compartidos: El mapa de Proyectos en Ejecución cuenta con 5 tipos de filtros para los proyectos georeferenciados en el mapa: Cooperantes, Territorios, Municipios, Área/Componente ENCI y Sectores. Ver detalles de un proyecto desde el mapa de Proyectos en Ejecución. Integración con redes sociales: La aplicación móvil APC-MAPPS, desarrollada en el marco del proyecto Vive Gobierno Móvil cuenta con una funcionalidad de integración con redes sociales, que le permite al usuario compartir el contenido de su aplicación en sus cuentas de Facebook y Twitter",1.0,2014-07-10T00:00:00.000,,
APP Personería,Software Público,Dar a los ciudadanos una forma de entablar una relación más directa con las personerías.  Permitirle al usuario conocer información importante para sus derechos y poder comunicarse con cada personería que tenga usuario en la aplicación por medio de los siguientes requerimientos.,Justicia y Derecho,2014,,http://www.softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://www.softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"ADMINISTRADOR DE PERSONEROS
La aplicación permite al administrador crear, modificar y eliminar personeros para todos los municipios del territorio nacional.  ADMINISTRAR PREGUNTAS FRECUENTES: El sistema permite al administrador crear, modificar y eliminar las preguntas frecuentes que se muestren en la aplicación móvil. ADMINISTRAR EL GLOSARIO El sistema permite al administrador crear, modificar y eliminar los términos que se muestran en el glosario de la aplicación móvil. VER LOS MENSAJES QUE LLEGAN DESDE LA APLICACIÓN MÓVIL El sistema ofrece la posibilidad de ver con facilidad los mensajes llegados desde la aplicación móvil al personero del municipio seleccionado desde ésta. SISTEMA OPERATIVO Dispositivo móvil con sistema operativo Android versión 4.0 o superior y con conexión a internet. Dispositivo móvil con sistema operativo iOS (iPad/iPhone), con versión iOS 7.X o superior y con conexión a internet.",1.0,12/22/2014 12:00:00 AM,,
Agro Insumos,Software Público,"Permite consultar a todos los ciudadanos, los insumos agropecuarios con sus características generales, con la posibilidad de filtrar según departamento, municipio, tipo de insumo y tipo de producto, se visualiza información del precio al que se debe vender, cantidad, presentación, unidad, y la posibilidad de tener comparativos nacionales o departamentales de los insumos que desee, además si el usuario lo considera, puede reportar una variación de precios a través de un formulario donde tendrá la posibilidad de aplicar los filtros anteriores y registrar el valor al cuál considera excede o es inferior según los precios oficiales reportados.",Agricultura y Desarrollo Rural,2014,,http://www.softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://www.softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"También es posible ubicar los puntos de venta de forma geo-refenciada, por departamento y municipio, ver los detalles de estos, y el rango de calificación otorgado por los usuarios, y la posibilidad de calificar el mismo, consultar consejos con información práctica para el cuidado de los cultivos, trucos, sugerencias, ver un boletín informativo con noticias, su imagen respectiva y un enlace al cual se puede dirigir el usuario al hacer clic, registrarse como vendedor de insumos, lo que le permitirá figurar en los listados de puntos de venta",1.0,12/29/2014 12:00:00 AM,,
Atlántico Atención especializada en maternidad,Software Público,"La Aplicación Móvil para Atención Especializada en Maternidad, tiene como finalidad  diagnosticar al paciente  de forma  inmediata por medio de un chat entre el médico general y el especialista, de esta  manera se podrán obtener resultados en la atención al binomio madre e hijo apoyando a los médicos  en la labor de disminuir la morbilidad materna extrema y la mortalidad materna y perinatal en el Departamento, utilizando sistemas informáticos de tele asistencia mediante dispositivos móviles, tabletas y/o teléfonos móviles inteligentes que les permita realizar diagnóstico, la toma de decisiones de la terapéutica a seguir y determinar la necesidad o no del traslado a un  mayor nivel de complejidad",Salud,2014,,http://www.softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://www.softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"Registro de nombre de usuario, acceso al historial de consultas, Chat con el  médico especialista",1.0,07/22/2014 12:00:00 AM,,
Agro Negocios,Software Público,Conectar a productores campesinos y potenciales compradores de manera que puedan generarse nuevos espacios de negocio que resulten beneficiosos y rentables para las dos partes,Agricultura y Desarrollo Rural,2014,,http://www.softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://www.softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"La aplicación ofrece al usuario, mediante esta opción, información relacionada con Agronet (Red de Información y Comunicación Estratégica del Sector Agropecuario – AGRONET Colombia). Información estratégica oportuna y sintética a los diversos actores de las agro-cadenas – con especial atención en los pequeños productores -, información agraria localmente relevante sobre nuevas técnicas para una seguridad alimentaria sostenible y para la diversificación de cultivos que mejoren su rentabilidad y sus oportunidades de mercado.",1.0,12/19/2014 12:00:00 AM,,
Vhista iOS,Software Cívico,"Vhista es una aplicación diseñada para ayudar a las personas invidentes. Con algoritmos de aprendizaje y reconocimiento de imágenes, esta aplicación se convierte en una nueva herramienta para identificar objetos como automóviles, habitaciones, comida, paisajes, muchos más! Puede funcionar tanto sin internet para reconocimiento rápido, como con internet para un reconocimiento mucho más profundo. Pero eso no es todo, con nuestra función de análisis facial, esta aplicación describe a la gente e incluso predice sus emociones basadas en gestos faciales!","Ciencia, Tecnología e Innovación",2017,,https://vhista.com,https://github.com/vhistaInc/Vhista-iOS/,"Vhista, Inc",david@vhista.com,"Vhista es una aplicación utilizada alrededor del mundo en países como Colombia, México, España, Estados Unidos, entre otros. Disponible en Inglés y Español, permite llegar a muchas más personas que necesiten de ella.",2.0.2,10/24/2017 12:00:00 AM,https://www.facebook.com/VhistaInc/videos/vl.346406205829355/453040095071303/,https://github.com/VhistaInc/Vhista-iOS/blob/master/Documentation/ESPANOL_BUILD.md
Mi Senado,Software Público,"Con esta aplicación desarrollada por el Senado de la República de Colombia, se puede visualizar en tiempo real la actividad legislativa tal como: sesiones de plenaria, sesiones de comisiones, votaciones de proyectos de ley, agenda legislativa y la conformación de los partidos en el Senado. Es la única en el mundo que permite interactuar a la ciudadanía en directo con comentarios y votaciones no vinculantes.",Función pública,2018,,http://www.senado.gov.co,https://github.com/AppMiSenado,Senado,planeacionysistemas@senado.gov.co,,estable 2.0,2018-10-04T00:00:00.000,,
YO CUIDO LO PÚBLICO,Software Público,"“Yo Cuido lo Público”, como una herramienta de reporte y consulta de posibles obras públicas que tienen un impacto negativo para la comunidad debido a que han sido abandonadas o están inconclusas, que no son utilizadas, o cuyo uso es diferente para aquel que fueron creadas. 

Esta herramienta no es un canal de DENUNCIA, por lo que si el usuario de la misma requiere que se inicie una investigación disciplinaria, fiscal o penal, o allegar más información sobre la obra reportada, deberá adelantar el trámite ante los organismos de control competentes. 

La prestación de esta aplicación es libre por tanto, no se asume responsabilidad de la información reportada por los usuarios de la aplicación en relación a responsables de obras públicas o características de la misma, la función principal de la aplicación es capturar la percepción de los usuarios/ciudadanos de aquello que puede constituirse dentro del objeto de uso. 

La aplicación es libre por tanto se reserva el derecho de modificar, complementar o suspender total o parcialmente la aplicación móvil y el contenido que se genere por el uso de la aplicación. 

La aplicación es libre por tanto se reserva el derecho de cambiar los Términos y Condiciones de Uso de la aplicación móvil en cualquier momento, con vigencia inmediata a partir del momento que se actualiza la aplicación móvil. 

Se considerará que los Ciudadanos-Usuarios han leído y aceptado los Términos y Condiciones de Uso para usar, acceder, descargar, instalar, obtener o brindar información hacia la aplicación móvil. 

En caso de que un Ciudadano - Usuario envíe imágenes digitales u otro contenido, tales como fotografías, ilustraciones, gráficos y texto a través de la aplicación móvil, se deberá tener en cuenta lo siguiente: 

Por el presente el Ciudadano - Usuario cede, los derechos patrimoniales de autor con exclusividad, y a perpetuidad para (a) reproducir, distribuir, transmitir, representar y exhibir públicamente las fotografías, ilustraciones, gráficos y texto, total o parcialmente, de cualquier manera y en cualquier medio para transmitir información, existente en la actualidad o que se cree en el futuro, (b) modificar, adaptar, traducir y crear trabajos derivados de las fotografías, ilustraciones, gráficos y texto, total o parcialmente, de conformidad a la ley 23 de 1982, y las demás que la modifican. 

El Ciudadano – Usuario se obliga a no introducir en la aplicación móvil, información de carácter ofensivo o agraviante o que contenga amenazas, u otros programas perjudiciales o mecanismo para captar o distorsionar información contenida en la aplicación móvil. 

El Ciudadano – Usuario declara que es consciente de que el contenido insertado en las aplicaciones móviles es de exclusiva responsabilidad del Ciudadano – Usuario que lo pública. Asimismo, entiende y acepta que los facilitadores de la aplicación, no se hacen responsables por el contenido publicado o compartido a través de la aplicación móvil.",Organismos de Control,2017,,http://www.softwarepublicocolombia.gov.co,https://github.com/softwarepublicomintic/YoCuidoLoPublico,Ministerio de Tecnologías de la Información y Comunicaciones,lmedina@mintic.gov.co,"El objetivo principal de esta aplicación móvil es permitir a la ciudadanía reportar obras públicas inconclusas en el país. Las funcionalidades principales de la aplicación se puede resumir en los siguientes puntos: 
• Reportar eventos haciendo uso de la Georeferenciación donde el usuario puede asociar imágenes e incluye información tal como entidad responsable, tiempo, costo aproximado, entidad, descripción del elefante blanco 
• Consultar todos los eventos reportados por otros usuarios en Colombia por Departamento y municipio 
• Consultar eventos reportados recientemente 
• Consultar eventos más votados 
• Consultar información sobre mis eventos reportados: estado del reporte, fotos, cantidad de votos, fecha de reporte, descripción, ubicación, entidad responsable  
• Ver el detalle de los eventos tales como: fotos, cantidad de votos, fecha de reporte, descripción, ubicación, entidad responsable",1.0,10/20/2017 12:00:00 AM,,
Geoportal,Software Público,"Aplicación web mediante la cual es posible visualizar datos de manera refenciada según varias capas en un mapa de Colombia. Estas capas son: Capa de Departamentos, Capa de Municipios, Capa de Entidades.",,2016,,http://www.contaduria.gov.co/wps/portal/internetes/home/internet/productos/sigcgn,https://github.com/ContaduriaGeneral/Geoportal,Contaduría General de la Nación,,,1.2,2017-11-09T00:00:00.000,,
ORFEO PÚBLICO,Software Público,"Sistema de Gestión Documental - Permite realizar la gestión de los documentos desde que ingresan a la entidad por ventanilla física o correo electrónico hasta finalizar su proceso final gestión, incluyendo su disposición final. Conserva la trazabilidad de la gestión realizada al mismo",Función pública,2017,,http://orfeo.superservicios.gov.co/Orfeo/login.seam,http://extranet.superservicios.gov.co/orfeopublico/,Superintendencia de Servicios Públicos Domiciliarios,jruizp@superservicios.gov.co,,5.3.0,08/30/2017 12:00:00 AM,,http://extranet.superservicios.gov.co/orfeopublico/
Calculadora de Dominio Público Colombiana,Software Cívico,Esta herramienta ayuda a determinar cuándo se vencen los derechos patrimoniales de autor y la obra puede usarse y difundirse sin necesidad de autorización previa.,Cultura,2012,,http://a.nomono.co/dominiopublico,,Fundación Conector,david@conector.co,"¿Quiere saber cuándo una obra colombiana entra en dominio público? Con esta herramienta y contestando algunas preguntas podrá saber en qué fecha entrará, entró o qué requisito se necesita para usar una obra sin necesidad de solicitar los permisos de derecho de autor.",1.0,2017-03-06T00:00:00.000,,http://wiki.nomono.co/index.php?title=Dominio_P%C3%BAblico
ICA - Live Helper Chat,Software Público,"ICA - Live Helper Chat - (Herramienta de Chat adoptada por y para el ICA).
Es un espacio de comunicación del ICA con la ciudadanía, sobre aspectos de sanidad agropecuaria.
https://chat.ica.gov.co:8443/chat.html",Agricultura y Desarrollo Rural,2017,,https://livehelperchat.com,https://github.com/TecnologiaICA/Live-helper-chat-ICA,Instituto Colombiano Agropecuario - ICA,randolfo.patino@ica.gov.co,"•	Multiple chats same time
•	XMPP support (IPhone, IPad, IPod, Android, Blackberry, GTalk) basically any device who supports XMPP messages.
•	See what users are typing before they send a message.
•	Multiple operators
•	Send delayed canned messages as it was real user typing
•	Chats archive
•	Priority queue
•	Chats statistic generation, top chats
•	Resume chat after user closed chat
•	All chats in single window with tabs interface, tabs are remembered before they are closed
•	Chat transcript print
•	Chat transcript send by mail
•	Site widget
•	Page embed mode for live support script or widget mode, or standard mode.
•	Multilanguage
•	Chats transfering
•	Departments
•	Files upload
•	Option to take website screenshot see what user see
•	Chat search
•	Automatic transfers between departments
•	Option to generate JS for different departments
•	Option to prefill form fields. 
•	Option to add custom form fields. It can be either user variables or hidden fields. Usefull if you are integrating with third party system and want to pass user_id for example.
•	Cronjobs
•	Callbacks
o	Closed chat callback
o	Unanswered chat callback
•	Asynchronous status loading, not blocking site javascript.
•	XML, JSON export module
•	Option to send transcript to users e-mail
•	SMTP support
•	HTTPS support
•	No third parties cookies dependency
•	Previous users chats
•	Online users tracking, including geo detection
•	GEO detection using three different sources
•	Option to configure start chat fields
•	Sounds on pending chats and new messages
•	Google chrome/Firefox notifications on pending messages.
•	Google chrome/Firefox notifications for new messages.
•	Browser title blinking then there is pending message.
•	Option to limit pro active chat invitation messages based on pending chats.
•	Option to configure frequency for pro active chat invitation message. You can set after how many hours for the same user invitation message should be shown again.
•	Users blocking
•	Posibility to integrate with google analytics event's tracking
•	Top performance with enabled cache
•	Windows, Linux and Mac native applications.
•	Advanced embed code generation with numerous options of includable code.
•	Template override system
•	Module override system
•	Support for custom extensions
•	Changeable footer and header content
•	Option to send messges to anonymous site visitors,
•	Canned messages
•	Informing then operator or user is typing.
•	Option to see what user is typing before he sends a message
•	Canned messages for desktop client
•	Voting module
•	FAQ module
•	Online users map
•	Pro active chat invitatio
•	Remember me functionality
•	Total pageviews tracking
•	Total pageviews including previous visits tracking
•	Visits tracking, how many times user has been on your page.
•	Time spent on site
•	Auto responder
•	BB Code support. Links recognition. Smiles and few other hidden features :)
•	First user visit tracking
•	Option for customers mute sounds 
•	Option for operators mute messages sounds and new pending chat's sound.
•	Option to monitor online operators.
•	Option to have different pro active messages for different domains. This can be archieved using different identifiers.
•	Dekstop client supports HTTPS
•	Protection against spammers using advanced captcha technique without requiring users to enter any captcha code.
•	Option for operator set online or offline mode.
•	Co-Browsing
•	Automatic translations (Bing or Google)",2.86,2018-05-05T00:00:00.000,,https://github.com/TecnologiaICA/Live-helper-chat-ICA/tree/master/Documentacion
Empleo público en tu bolsillo,Software Público,"El usuario tendrá en la aplicación móvil Empleo Público en tu Bolsillo, una herramienta que le permitirá acercarse a la entidad Comisión Nacional de Servicio Civil, obteniendo información sobre la misma, interactuando con mediante los canales de comunicación establecidos y vinculándose como parte activa de los programas que la entidad desarrolla y que están dirigidos al ciudadano.",Trabajo,2014,,http://www.softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://www.softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"Publicación de convocatorias: permite la consulta de las convocatorias a empleos públicos que realiza la comisión nacional de servicio civil. Georeferenciación: permite visualizar las ofertas de empleo que publica la comisión nacional de servicio civil georeferenciadas en un mapa, para conocer las ciudades en las que aplica dicha convocatoria. Integración con redes sociales compartir las ofertas de empleo relacionadas con una convocatoria en sus cuentas de Facebook y Twitter. Consultar noticias de una convocatoria: sección de noticias en la que se publicará información de interés general relacionada con dicha convocatoria. Consultar información de contacto: información de contacto con la entidad, la cual consiste en dirección, teléfono, fax, línea nacional gratuita, etc. Marcar ofertas de empleo como favoritas.  Recordatorio de ofertas de empleo",1.0,07/16/2018 12:00:00 AM,,
Guíame,Software Público,"Permite a la población discapacitada visualmente acceder a servicios de forma autónoma, tales como encontrar rápida y efectivamente servicios médicos, servicios bancarios, servicio de restaurantes, servicios recreativos, etc.",Vida y estilo,2014,,http://www.softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://www.softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"Encontrar mi ubicación mostrando su posición en un pequeño mapa mostrando dirección, ciudad y departamento. Buscar un lugar: Se detecta los lugares mar cercanos según la posición del usuario en forma de iconos mostrando la distancia que se encuentra en metros, muestra información acerca de un lugar. Realizar búsquedas de lugares clasificados por categoría o por su nombre. Realizar llamadas de emergencia de acuerdo a los números agregados. Reportar lugares que no tienen accesibilidad.",1.0,12/22/2014 12:00:00 AM,,
Autocuidate,Software Público,"La aplicación móvil  permite desplegar la información sobre actividades preventivas en salud más importantes, identificando su beneficio y las implicaciones de no hacer uso de la oferta que le hacen los servicios de salud. Para este fin, la aplicación permite a los usuarios realizar un análisis de acuerdo a su edad y sexo para que le informe sobre las actividades preventivas que debe de realizar según las variables ingresadas en el sistema",Salud,2014,,http://softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"La aplicación móvil  permite desplegar la información sobre actividades preventivas en salud más importantes, identificando su beneficio y las implicaciones de no hacer uso de la oferta que le hacen los servicios de salud. Para este fin, la aplicación permite a los usuarios realizar un análisis de acuerdo a su edad y sexo para que le informe sobre las actividades preventivas que debe de realizar según las variables ingresadas en el sistema",1.0,09/26/2013 12:00:00 AM,,
Mi pronóstico,Software Público,Widget que permitan consultar la información referente a pronósticos y alertas generados por el IDEAM.,"Ciencia, Tecnología e Innovación",2014,,http://softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"Temperatura mínima y máxima del sitio seleccionado. Selección de un sitio para ver su pronóstico Alertas: el sistema muestra las alertas según la tipología (incendios, heladas, deslizamientos) en un mapa. Identificación del nivel de alertas por colores empleados por el IDEAM Consulta del pronóstico por regiones. Compartir información por redes sociales",1.0,01/22/2014 12:00:00 AM,,
Si Joven,Software Público,"La aplicación móvil les brindará a los jóvenes colombianos orientación sobre las ofertas a nivel de educación, empleo, prevención, cultura, voluntariado, desarrollo personal, entre otras, ofrecidas por diferentes entidades y que son recopiladas por medio de ésta aplicación.",Trabajo,2014,,http://softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"La aplicación móvil les brindará a los jóvenes colombianos orientación sobre las ofertas a nivel de educación, empleo, prevención, cultura, voluntariado, desarrollo personal, entre otras, ofrecidas por diferentes entidades y que son recopiladas por medio de ésta aplicación.",1.0,10/31/2014 12:00:00 AM,,
Oferta institucional UARIV,Software Público,Aplicación móvil que permite el acceso a la información acerca de los programas para la Reparación Integral de Victimas interactuando con  los canales de comunicación establecidos y vinculándose como parte activa de los programas que la entidad desarrolla y que están dirigidos al ciudadano.,Inclusión Social y Reconciliación,2014,,http://softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"Realizar las consultas filtrando por los programas según el departamento, ciudad, estado del programa (activo, inactivo, todos). Consultar las entidades que manejan los programas para la reparación de victimas Listado de preguntas frecuentes con su respuesta. Puntos de atención Georeferenciación de los puntos de atención según el departamento seleccionado Link de páginas informativas de la Unidad para la Atención y Reparación Integral de las Víctimas.",1.0,12/26/2013 12:00:00 AM,,
